Function,Raw Force, Resting Force offset, Compensated Force, External Analog Input, Position, milliseconds
Retracting to retract distance,00001956,00001852,00000104,00000000,32.7105369568,1468387165518 
Retracting to retract distance,00001861,00001852,00000009,00000000,32.6913871765,1468387165527 
Retracting to retract distance,00001934,00001852,00000082,00000000,32.6723365784,1468387165536 
Retracting to retract distance,00001861,00001852,00000009,00000000,32.6535835266,1468387165545 
Retracting to retract distance,00001903,00001852,00000051,00000000,32.6351318359,1468387165554 
Retracting to retract distance,00001841,00001852,-0000011,00000000,32.6150894165,1468387165564 
Retracting to retract distance,00001909,00001852,00000057,00000000,32.5964355469,1468387165573 
Retracting to retract distance,00001849,00001852,-0000003,00000000,32.5773849487,1468387165582 
Retracting to retract distance,00001876,00001852,00000024,00000000,32.5596237183,1468387165591 
Retracting to retract distance,00001825,00001852,-0000027,00000000,32.5403747559,1468387165600 
Retracting to retract distance,00001849,00001852,-0000003,00000000,32.5226173401,1468387165609 
Retracting to retract distance,00001891,00001852,00000039,00000000,32.5054512024,1468387165617 
Retracting to retract distance,00001827,00001852,-0000025,00000000,32.4883842468,1468387165625 
Retracting to retract distance,00001857,00001852,00000005,00000000,32.4712219238,1468387165634 
Retracting to retract distance,00001846,00001852,-0000006,00000000,32.4519729614,1468387165643 
Retracting to retract distance,00001846,00001852,-0000006,00000000,32.4341125488,1468387165652 
Retracting to retract distance,00001904,00001852,00000052,00000000,32.4163513184,1468387165660 
Retracting to retract distance,00001836,00001852,-0000016,00000000,32.3977012634,1468387165669 
Retracting to retract distance,00001876,00001852,00000024,00000000,32.3807334900,1468387165678 
Retracting to retract distance,00001826,00001852,-0000026,00000000,32.3627738953,1468387165686 
Retracting to retract distance,00001832,00001852,-0000020,00000000,32.3452110291,1468387165696 
Retracting to retract distance,00001876,00001852,00000024,00000000,32.3262634277,1468387165704 
Retracting to retract distance,00001831,00001852,-0000021,00000000,32.3093948364,1468387165712 
Retracting to retract distance,00001898,00001852,00000046,00000000,32.2911376953,1468387165721 
Retracting to retract distance,00001856,00001852,00000004,00000000,32.2740745544,1468387165729 
Retracting to retract distance,00001829,00001852,-0000023,00000000,32.2564125061,1468387165738 
Retracting to retract distance,00001889,00001852,00000037,00000000,32.2388496399,1468387165747 
Retracting to retract distance,00001832,00001852,-0000020,00000000,32.2195014954,1468387165756 
Retracting to retract distance,00001878,00001852,00000026,00000000,32.2020416260,1468387165764 
Retracting to retract distance,00001824,00001852,-0000028,00000000,32.1849746704,1468387165773 
Retracting to retract distance,00001844,00001852,-0000008,00000000,32.1663208008,1468387165782 
Retracting to retract distance,00001884,00001852,00000032,00000000,32.1491584778,1468387165790 
Retracting to retract distance,00001831,00001852,-0000021,00000000,32.1314964294,1468387165799 
Retracting to retract distance,00001895,00001852,00000043,00000000,32.1143302917,1468387165807 
Retracting to retract distance,00001828,00001852,-0000024,00000000,32.0950813293,1468387165816 
Retracting to retract distance,00001848,00001852,-0000004,00000000,32.0780181885,1468387165824 
Retracting to retract distance,00001873,00001852,00000021,00000000,32.0602569580,1468387165833 
Retracting to retract distance,00001827,00001852,-0000025,00000000,32.0426940918,1468387165842 
Retracting to retract distance,00001895,00001852,00000043,00000000,32.0239410400,1468387165851 
Retracting to retract distance,00001816,00001852,-0000036,00000000,32.0067787170,1468387165859 
Retracting to retract distance,00001843,00001852,-0000009,00000000,31.9895133972,1468387165868 
Retracting to retract distance,00001862,00001852,00000010,00000000,31.9705619812,1468387165877 
Retracting to retract distance,00001820,00001852,-0000032,00000000,31.9534969330,1468387165885 
Retracting to retract distance,00001898,00001852,00000046,00000000,31.9357376099,1468387165893 
Retracting to retract distance,00001840,00001852,-0000012,00000000,31.9179763794,1468387165902 
Retracting to retract distance,00001853,00001852,00000001,00000000,31.8990268707,1468387165911 
Retracting to retract distance,00001847,00001852,-0000005,00000000,31.8817615509,1468387165920 
Retracting to retract distance,00001842,00001852,-0000010,00000000,31.8641014099,1468387165929 
Retracting to retract distance,00001890,00001852,00000038,00000000,31.8453483582,1468387165937 
Retracting to retract distance,00001818,00001852,-0000034,00000000,31.8271923065,1468387165946 
Retracting to retract distance,00001881,00001852,00000029,00000000,31.8097286224,1468387165955 
Retracting to retract distance,00001861,00001852,00000009,00000000,31.7925643921,1468387165963 
Retracting to retract distance,00001821,00001852,-0000031,00000000,31.7746067047,1468387165972 
Retracting to retract distance,00001898,00001852,00000046,00000000,31.7562503815,1468387165981 
Retracting to retract distance,00001822,00001852,-0000030,00000000,31.7381935120,1468387165989 
Retracting to retract distance,00001845,00001852,-0000007,00000000,31.7214241028,1468387165998 
Retracting to retract distance,00001823,00001852,-0000029,00000000,31.7042598724,1468387166007 
Retracting to retract distance,00001830,00001852,-0000022,00000000,31.6909637451,1468387166015 
Retracting to retract distance,00001856,00001852,00000004,00000000,31.6789588928,1468387166024 
Retracting to retract distance,00001845,00001852,-0000007,00000000,31.6695327759,1468387166033 
Retracting to retract distance,00001861,00001852,00000009,00000000,31.6617946625,1468387166041 
Retracting to retract distance,00001845,00001852,-0000007,00000000,31.6565361023,1468387166050 
Retracting to retract distance,00001845,00001852,-0000007,00000000,31.6532611847,1468387166059 
Retracting to retract distance,00001853,00001852,00000001,00000000,31.6521701813,1468387166068 
Retracted from Contact Point,00001853,00001852,00000001,00000000,31.6521701813,1468387166077 
Move forward to applanation setpoint,00001854,00001852,00000002,00000000,31.6526660919,1468387166093 
Move forward to applanation setpoint,00001848,00001852,-0000004,00000000,31.6542530060,1468387166099 
Move forward to applanation setpoint,00001856,00001852,00000004,00000000,31.6567344666,1468387166105 
Move forward to applanation setpoint,00001849,00001852,-0000003,00000000,31.6603050232,1468387166110 
Move forward to applanation setpoint,00001865,00001852,00000013,00000000,31.6636791229,1468387166116 
Move forward to applanation setpoint,00001847,00001852,-0000005,00000000,31.6671524048,1468387166121 
